index,env_id,curr_pos,curr_capacity,possible_actions,action,reward,bl_action,bl_reward,done
35002,70,8,0.32,[1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1.],7,12.935103416442873,3,2.9445135593414307,False
35003,70,7,0.19,[1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1.],9,27.783203125,0,0.0,False
35004,70,9,0.06,[1. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1.],0,0.0,10,3.9082493782043457,False
35005,70,0,1.0,[1. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1.],10,3.9082493782043457,5,11.21266746520996,False
35006,70,10,0.62,[1. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0.],5,11.21266746520996,0,0.0,False
35007,70,5,0.19,[1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0.],0,0.0,4,12.33159065246582,False
35008,70,0,1.0,[1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0.],1,23.89089584350586,8,18.080434799194336,False
35009,70,1,0.68,[1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0.],3,21.5237979888916,1,11.757284164428713,False
35010,70,3,0.57,[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0.],2,3.055419445037842,0,0.0,False
35011,70,2,0.19,[1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],0,0.0,6,21.1686954498291,False
35012,70,0,1.0,[1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],6,21.1686954498291,7,46.76274490356445,True
35013,70,4,0.84,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],5,2.878795623779297,9,16.118844985961914,True
35500,71,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1,19.866167068481445,3,16.243188858032227,False
35501,71,1,0.63,[1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1.],9,3.1499345302581787,5,5.457788467407227,False
35502,71,9,0.31,[1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1.],3,8.501508712768555,0,0.0,False
35503,71,3,0.03,[1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1.],0,0.0,1,19.866167068481445,False
35504,71,0,1.0,[1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1.],10,21.89161491394043,9,3.1499345302581787,False
35505,71,10,0.57,[1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 0.],4,11.494035720825195,4,4.239908695220947,False
35506,71,4,0.41,[1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0.],6,12.923750877380373,0,0.0,False
35507,71,6,0.07,[1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0.],0,0.0,10,21.89161491394043,False
35508,71,0,1.0,[1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0.],7,23.76445198059082,6,7.914580345153809,False
35509,71,7,0.52,[1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0.],5,30.25081825256348,0,0.0,False
35510,71,5,0.04,[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0.],0,0.0,7,23.76445198059082,False
35511,71,0,1.0,[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0.],8,28.34653091430664,2,24.928621292114254,False
